category,datetime,headline,id,image,related,source,summary,url
company,1769210609,Heard on the Street Recap: Go for Gold,138229925,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,INTC,Yahoo,"What Happened in Markets Today Stocks ended a wild week on a mixed note. The S&P 500 was slightly higher on Friday, while the Dow Jones Industrial Average shed 285 points, or 0.6%. The Nasdaq Composite gained 0.",https://finnhub.io/api/news?id=43110ff5778f8c1e8b0572ab95fac5c2ab0cf515ac86d4abff659d3e92ccad0b
company,1769209906,US stocks end mixed as Intel's outlook weighs on risk appetite,138229926,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,INTC,Yahoo,"STORY: Wall Street's main indexes ended mixed on Friday, with the Dow dropping nearly six-tenths of a percent, the S&P 500 ending basically flat and the Nasdaq gaining almost three-tenths of a percent. Friday's mixed close capped a turbulent week for stocks, with the indexes whiplashing in reaction to President Trump's see-sawing tariff threats on European allies who opposed his ambition to acquire Greenland.Stocks on Friday, however, took on a more familiar look, said Brad Conger, chief investment officer at Hirtle Callaghan.“What we are seeing today is a very classic setup from last year, all the way from May, all the way through October - which was Mag 7 working, everything else not working. So banks, nuclear energy, meme stocks, smallcaps, they're all dramatically underperforming. And so this is in a way a flashback to sort of a pattern that we know very well, but we haven't seen it in a few months. I think this tells us something about the rotation that happened, starting around early November, that maybe it's gone far enough.”Next week may test whether many of those Magnificent Seven stocks can continue their momentum, with Apple, Tesla and Microsoft among those set to report earnings.Nvidia - which doesn't report until late February - rose on Friday after Bloomberg News reported Chinese officials have told Alibaba, Tencent and ByteDance they can prepare orders for Nvidia's H200 AI chips.One tech stock that didn't perform well Friday was Intel, which nosedived 17% after the company forecast quarterly revenue and profit below market estimates, saying it struggled to satisfy demand for its server chips used in AI data centers.Investors now turn their focus to the Federal Reserve's two-day policy meeting beginning Tuesday, during which the central bank is expected to leave interest rates unchanged.",https://finnhub.io/api/news?id=1c86adf35974b45cab062d6b086d3c4129c4ff822f2461c6e5371a33f2f249f9
company,1769209694,Did GlobalFoundries' (GFS) New Board Appointment Signal a Deeper Shift in Its Manufacturing Strategy?,138229927,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,INTC,Yahoo,"GlobalFoundries has appointed Ganesh Moorthy, former president and CEO of Microchip Technology and longtime Intel executive, to its board of directors, effective January 15, 2026. His concurrent roles across semiconductor, materials and precision technology companies position him to bring a cross-industry perspective to GlobalFoundries’ manufacturing and power-efficient technology ambitions. We’ll now examine how Moorthy’s four decades of semiconductor leadership may influence...",https://finnhub.io/api/news?id=788383866559c40dc8b0337d3a6f480d0983e6f718d8fae9e24875b733e52e20
company,1769209200,3 catalysts that could drive Nvidia stock higher in 2026,138229886,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,INTC,Yahoo,"The Chinese government tells tech companies to prep their Nvidia (NVDA) H200 chip orders, according to Bloomberg. Bernstein managing director and senior analyst Stacy Rasgon — who has a Buy rating on Nvidia — reacts to the headline and compares the supply-demand dynamic for chips in China. Catch Stacy Rasgon also weigh in on the leadership of Intel (INTC) CEO Lip-Bu Tan. To watch more expert insights and analysis on the latest market action, check out more Market Domination.",https://finnhub.io/api/news?id=ff2bfb2f53d5019edb931746dead11d3d406011cff88077e3ec761b03b13e01f
company,1769208600,Intel Is Still Making Too Many Unforced Errors. Can the Chip Giant Get Out of Its Own Way?,138229928,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,INTC,Yahoo,"Investors are betting big on a turnaround, but the company keeps making execution mistakes.",https://finnhub.io/api/news?id=e08fcc5e355b7db2cc184d49d63037241a051bc13976828b31d2d38e56544878
company,1769207945,"Stock Market Today, Jan. 23: Intel's Weak Outlook Weighs on Dow While Nasdaq Edges Higher",138229887,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,INTC,Yahoo,"Intel's downbeat outlook knocked the Dow while strength in mega-cap and AI names kept the Nasdaq in the green, today, Jan. 23, 2026.",https://finnhub.io/api/news?id=648da3fcf0cf32f272088ffe701315923ff6d01db6887729544b76c7c4aefaed
company,1769207803,"Stock Market Today, Jan. 23: Intel Plunges After Weak Outlook Highlights Supply Constraints and Foundry Losses",138229888,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,INTC,Yahoo,"Today, Jan. 23, 2026, investors are weighing whether Intel’s supply snags and foundry losses threaten its AI data-center ambitions.",https://finnhub.io/api/news?id=c35055a7d25a5713e799144995e7f30d508b5b664f8d980bfc672c1cc1ebbe51
company,1769205961,Why Broadcom Stock Fell Today,138229903,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,INTC,Yahoo,Broadcom stock fell after another major chip player reported earnings.,https://finnhub.io/api/news?id=4f16d98671630bceab8a5054263e995a5a20c80cc9466e66c9c83408b416f3aa
company,1769205720,"Tech, Media & Telecom Roundup: Market Talk",138229932,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,INTC,Yahoo,"Find insight on Intel, Ericsson and more in the latest Market Talks covering technology, media and telecom.",https://finnhub.io/api/news?id=51d015a87c045bb0a03ffa36613d37062c49e84a1c7f8ad6e9ad9e1dee5b351e
company,1769204976,"Stocks to Watch Friday Recap: Intel, Capital One, CSX, Booz Allen",138229360,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,INTC,Yahoo,"↘️ Intel (INTC): The chip maker swung to a bigger-than-expected loss and forecast more losses this quarter. Shares slid 17%. ↗️ Booz Allen Hamilton (BAH): The consultancy raised its annual profit outlook, prompting a 6.",https://finnhub.io/api/news?id=3baf3eb3849481745b9452fb1d82822541c5bdb7a0274273749dc4e30e2700f9
