category,datetime,headline,id,image,related,source,summary,url
company,1769204460,GE Aerospace Tailwinds Shift Higher in 2026—Don’t Miss the Setup,138248541,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GE,Yahoo,GE Aerospace's uptrend remains intact following the 2026 guidance update: new highs are expected but may not come until later in the year.,https://finnhub.io/api/news?id=d6f05f1efb4f81abd69223d2ad6bd4c751ca76e4d50e7d4be977b2493f9faa8f
company,1769190720,Defense ETFs to Watch Before Q4 Earnings Season Unfolds,138228475,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GE,Yahoo,"SHLD and other defense ETFs are in focus as Q4 earnings loom, with rising global military spending set to validate record contract-driven growth.",https://finnhub.io/api/news?id=a2b0bac664b9b29b8d07eef40a19e30443b697cb3d5dfba42d1eee652c72e1d5
company,1769187120,GE Aerospace’s Earnings Worried the Market. What CEO Larry Culp Says.,138233137,,GE,MarketWatch,GE Aerospace’s Earnings Worried the Market. What CEO Larry Culp Says.,https://finnhub.io/api/news?id=968af96d4b8a9163af4b7689d9d9ec85a1f2084e901f6771693eddb32ec0b20e
company,1769184635,"Stock Market Falls, Recovers On Trump's Greenland Shifts; Intel, Netflix, Tesla Key Movers: Weekly Review",138226907,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GE,Yahoo,"The stock market plunged initially on President Trump's Greenland tariffs, but recovered as he backed off. Intel, Netflix, Tesla were key movers.",https://finnhub.io/api/news?id=d177e2af9fe2bb5a8bd27f728937572f494777fffff6efc0ce2c2bc1c97cdfaa
company,1769181836,Boeing Stock Rips Higher Ahead Of Q4 Results; 3 Data Storage Stocks In Earnings Spotlight,138225562,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GE,Yahoo,Boeing stock has been on a tear ahead of its Q4 report as Wall Street bets on clearer skies ahead for the aerospace giant.,https://finnhub.io/api/news?id=b9b692b319fac61438ee509892aa6a6ec946ac1ebc47b4911f9ceaa6846b8c72
company,1769179228,Unusually active option classes on open January 22nd,138225660,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GE,Yahoo,"Unusual total active option classes on open include: Odyssey Marine (OMEX), Funko (FNKO), Original BARK Company (BARK), JetBlue (JBLU), The Metals Company (TMC), General Electric (GE), Altimmune (ALT), Sealsq Corp (LAES), Arista Networks (ANET), and Under Armour Class A (UAA).Claim 50% Off TipRanks PremiumUnlock hedge fund-level data and powerful investing tools for smarter, sharper decisions Stay ahead of the market with the latest news and analysis and maximize your portfolio's potential Publi",https://finnhub.io/api/news?id=4940045926bba6408e8598dd3f72a8fe5974b97d2325531bf3d18b8479a9e065
company,1769174051,"Earnings live: Intel stock drops, Capital One stock falls on Brex acquisition",138224754,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GE,Yahoo,"A broader set of sectors will be represented when 35 more S&P 500 companies report earnings this week, including Netflix, Procter & Gamble, and Intel.",https://finnhub.io/api/news?id=e29888e4d3ccba98cd8df727f03a614aef982b34d3bfc9b2cedabb0fde354340
company,1769166780,GE Aerospace ends 2025 on high note as engine demand surges,138226948,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GE,Yahoo,"The engine maker saw fourth-quarter orders jump 74% over the previous year, accounting for nearly half of all 2025 orders. It also is expanding its commercial division.",https://finnhub.io/api/news?id=d0ddcc210d2e5a1dc7c23ce489b5c81edb58ef8c681949aabb830d5bbd0a633d
company,1769163131,US Stock Market Today S&P 500 Futures Slip As Higher Rate Pressures Linger,138223450,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GE,Yahoo,"The Morning Bull - US Market Morning Update Friday, Jan, 23 2026 US stock futures are slightly softer this morning, with S&P 500 contracts edging lower by around 0.1%, as investors weigh higher borrowing costs against signs of healthier global growth. The US 10 year Treasury yield is sitting near 4.24%, which means mortgages, credit cards and corporate borrowing remain relatively expensive. At the same time, fresh business surveys from Japan and Germany are above the 50 mark, a level that...",https://finnhub.io/api/news?id=7eda9ce3c09b8332b06668ca7fd81480ada4dbaa650f0ae8d8b674aefdee94c9
company,1769146438,GE Q4 Deep Dive: Aftermarket Strength and Supply Chain Actions Shape 2026 Outlook,138222886,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GE,Yahoo,"Industrial conglomerate GE Aerospace (NYSE:GE) announced better-than-expected revenue in Q4 CY2025, with sales up 17.6% year on year to $12.72 billion. Its non-GAAP profit of $1.57 per share was 9.5% above analysts’ consensus estimates.",https://finnhub.io/api/news?id=bc89dbf2c28d44822a6730cf3c239ffccecfeaff56416aafe9f968a6b0bbc8f5
company,1769143082,3 Profitable Stocks That Concern Us,138224783,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GE,Yahoo,"Even if a company is profitable, it doesn’t always mean it’s a great investment. Some struggle to maintain growth, face looming threats, or fail to reinvest wisely, limiting their future potential.",https://finnhub.io/api/news?id=2042d8ccc9761801ff5e749f31755a5df0ec9a95fb805ab6c84e7171e47f894a
