category,datetime,headline,id,image,related,source,summary,url
company,1769556665,Bernie Sanders Says Thanks To Trump Larry Ellison Gets To Control TikTok US Algorithm And That Is What 'Oligarchy' Looks Like,138276388,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ORCL,Yahoo,"TikTok's last-minute deal to avoid a nationwide ban has invited criticism from Sen. Bernie Sanders (I-Vt.), warning that the platform's rescue hands even more influence to billionaire Larry Ellison and his expanding media empire. TikTok Deal Averts Ban, Shifts Control to U.S. Investors Last week, TikTok secured its future in the U.S. after Chinese parent ByteDance finalized a deal creating a new entity, TikTok USDS Joint Venture LLC, to comply with a 2024 law requiring divestment or a ban. Under",https://finnhub.io/api/news?id=174a9b79ce7be25f5f630bce056b57f1f3f29dd08bb0842b2ffe39091a7abe6a
company,1769550000,"Top Research Reports for Broadcom, Oracle & Mastercard",138276358,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ORCL,Yahoo,"Broadcom leads Zacks' top research picks as AI semiconductor demand, VMware integration and networking strength drive strong momentum.",https://finnhub.io/api/news?id=5637171e5c151834a49087f43d1813bd3b0828904a061f38f7781714aaf04b16
company,1769540572,Is AI In A Bubble? What Wall Street Thinks Now,138273878,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ORCL,Yahoo,Market headlines keep circling the same question: Are we in an AI bubble or boom?  Investors are pouring unprecedented capital into a technology that remains early in its profit cycle.  The stakes are already visible in the AI infrastructure trade.,https://finnhub.io/api/news?id=216d930549843a266b7082d9c29c1ba8f9a1d7e7d7df741c13793675cf65a8bc
company,1769537753,'Reversion To The Mean' Will Eventually Slam The Market,138276130,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/482499870/image_482499870.jpg?io=getty-c-w1536,ORCL,SeekingAlpha,Market valuations look extreme as Magnificent Seven-driven earnings lift margins. Click here to know more.,https://finnhub.io/api/news?id=1d375cb720ba3f3ff0d82802e0f02ce9b7a16fd45945247c3427835f6d397aa2
company,1769533320,Is Oracle's Rising Cloud CapEx Driving Its Next Growth Phase?,138273998,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ORCL,Yahoo,"ORCL is ramping cloud CapEx to $50B as AI and enterprise demand surge, betting GPU-rich data centers can unlock faster revenue growth.",https://finnhub.io/api/news?id=22441a64b4f2eda080427c878ba9b2738243228c52f9e37a47b809d35739e156
company,1769531460,Oracle Corp. stock underperforms Tuesday when compared to competitors,138283288,,ORCL,MarketWatch,Oracle Corp. stock underperforms Tuesday when compared to competitors,https://finnhub.io/api/news?id=2eaab41fc002fa314d68d894f371a124be90bdf4fdd130d3b57f85ae00a97501
company,1769524202,Why 1 Analyst Just Slashed Their Price Target on Oracle Stock by More than 30%,138272495,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ORCL,Yahoo,"Oracle is ramping up its AI ambitions. But Morgan Stanley’s analyst just slashed its price target, warning heavy infrastructure spending could pressure earnings and cap near-term growth.",https://finnhub.io/api/news?id=63383cfa05160caa98fb497feb4d4a470ceb6ffdb4b1db51f885980d9035bf01
company,1769523540,iXAfrica Data Centres Collaborates with Oracle to Deliver Kenya’s First Public Cloud Region,138270982,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ORCL,Yahoo,"NAIROBI, Kenya, January 27, 2026--iXAfrica Data Centre Limited (iXAfrica) (https://iXAfrica.co.ke), East and Central Africa’s largest hyperscale, carrier-neutral, AI-ready facility, will collaborate with Oracle as the host partner for the Oracle Cloud Infrastructure (OCI) (http://apo-opa.co/4rlwfdb) region in Nairobi, Kenya. Announced by H.E. President William Ruto in January 2024, this new public cloud region will help meet strong demand for OCI services in Kenya.",https://finnhub.io/api/news?id=29714cb652e6e79fdc734d3026912e44bb40359032b5ecb4c1aeaf9c3f8c96f0
company,1769523300,"ReelTime Media Cuts Outstanding Debt in Half, Bringing Total Debt Reduction Over the Past Year Down More Than 64%",138270828,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ORCL,Yahoo,"While Nvidia, Oracle, AMD, Alphabet, and Microsoft expand leverage to fund capital-intensive AI infrastructure, ReelTime executes disciplined debt reduction and balance-sheet transformation ReelTime Media announced it has reduced its outstanding debt by more than 50 percent through strategic renegotiations and debt extinguishments, bringing total debt reduction over the past year to more than 64 percent and significantly strengthening its balance sheet to support long term growth and shareholder",https://finnhub.io/api/news?id=761f7aac20fb8ca5b11c1872e3a106253a690bc4a53b22ef91ba0903076e92d0
company,1769522400,Ypê Deepens Partnership with Rimini Street to Accelerate Agentic AI and Maximize ERP Value,138270986,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ORCL,Yahoo,"LAS VEGAS, January 27, 2026--Rimini Street, Inc. (Nasdaq: RMNI), the Software Support and Agentic AI ERP Company™, and the leading third-party support provider for Oracle, SAP and VMware software, today announced the expansion of its partnership with Ypê, the Brazilian consumer goods company whose products can be found in over 95% of Brazilian homes. This milestone marks a new phase in Ypê’s AI-first vision to build a frictionless company that delivers exceptional experiences for employees, cust",https://finnhub.io/api/news?id=459f459040d9268da605e5347c00115af7eec528f2fa9ed6ad6634c2f945abad
