category,datetime,headline,id,image,related,source,summary,url
company,1769118927,"Equities Extend Gains as Focus Turns to Economic Data, Corporate Earnings",138213779,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MKC,Yahoo,"US equities rose Thursday, extending gains from the previous session as Greenland-related concerns t",https://finnhub.io/api/news?id=f830d5c3ad686f1e556b49d0526c50486f8a01b8ad79f46041d2807d89d4b308
company,1769115329,Sector Update: Consumer Stocks Mixed Late Afternoon,138213166,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MKC,Yahoo,"Consumer stocks were mixed late Thursday afternoon, with the State Street Consumer Staples Select Se",https://finnhub.io/api/news?id=89c557c37910091c6d771b08d596edff9642c19c64438755c051f26b4eb06609
company,1769115048,"Meta's bullish call, Alibaba's AI chip unit, McCormick earnings",138213158,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MKC,Yahoo,"Meta (META), Alibaba (BABA), and McCormick (MKC) are some of the trending tickers on Yahoo Finance's platform during Thursday's trading session. Market Domination host Josh Lipton takes a closer look at the stories driving Wall Street's interest in these names. To watch more expert insights and analysis on the latest market action, check out more Market Domination.",https://finnhub.io/api/news?id=d441b48dc61b95ef5b9a9f25fd87686d2babc229e5756ed62d25a0e7d0235f26
company,1769108760,"Equities Rise Intraday as Markets Parse Data, Earnings; Precious Metals Jump",138206867,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MKC,Yahoo,US benchmark equity indexes were higher intraday as traders assessed the latest economic data and co,https://finnhub.io/api/news?id=f598ef8c6942f5c9c797aa2c373079b6c60320ba0b77adcb6b81e77fae369d1a
company,1769108485,McCormick & Co Inc (MKC) Q4 2025 Earnings Call Highlights: Navigating Growth Amid Inflation ...,138207105,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MKC,Yahoo,McCormick & Co Inc (MKC) reports a 2% organic sales growth and outlines strategies to tackle inflation and tariff impacts while projecting a positive 2026 outlook.,https://finnhub.io/api/news?id=fdb216838c167325bb30f8b5a20782570682dab6d1c6b9ef19435a646a0c91d7
company,1769107620,"Procter & Gamble Q2 Earnings Beat Estimates, Organic Sales Flat Y/Y",138213230,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MKC,Yahoo,"PG beats Q2 fiscal 2026 EPS estimates as pricing and mix drove segment growth, while it reiterated its full-year guidance.",https://finnhub.io/api/news?id=15be19edaae6c28b9690fe99e4b0e914ca6d805c07838168d869513d0706765a
company,1769105317,"McCormick & Company, Incorporated Q4 Earnings Call Highlights",138207106,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MKC,Yahoo,"McCormick & Company, Incorporated (NYSE:MKC) executives said the company delivered “volume-led” organic growth and share gains in fiscal 2025, while managing rising inflation and tariff-related costs that weighed on gross margin in the second half of the year. On the company’s fourth-quarter ear",https://finnhub.io/api/news?id=328cd38e6b1e14ad709c49b14a6eee5caad3aaa16014b80cb85835bdcfb9bea8
company,1769104582,Why McCormick (MKC) Stock Is Nosediving,138207107,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MKC,Yahoo,Shares of food flavoring company McCormick (NYSE:MKC) fell 7% in the afternoon session after the company issued a weak profit forecast for the upcoming fiscal year and reported fourth-quarter results that missed expectations.,https://finnhub.io/api/news?id=f58585759b859c4b9fddbfafb4050a7473bf9472e640b9cd8205f481403f5f5d
company,1769104020,McCormick Raises Prices as Higher Costs Hurt Profitability,138206054,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MKC,Yahoo,McCormick & Co. posted higher sales in the fourth quarter but issued a soft adjusted earnings outlook for fiscal 2026 as higher costs are expected to dent profits.,https://finnhub.io/api/news?id=5321ecb246db3e9ae9c579986191ab7212821c14955e89459b0ededd984b5ebe
company,1769103662,Spice Maker McCormick Plans to Raise Prices Further to Offset Tariffs,138206055,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MKC,Yahoo,"McCormick plans to continue raising prices to help offset rising costs from tariffs and higher commodity expenses.  Shares in McCormick skidded 8% Thursday after the company forecast higher costs would dent profit this fiscal year.  McCormick said it exited 2025 with mid-single digit inflation, tied to some of the 17,000 ingredients it sources from 80 countries, as well as packaging.",https://finnhub.io/api/news?id=6259429f40ff8dcbc3e199c5c4976c598f49db8e4ae22ca93a6cc258365cb1ff
