category,datetime,headline,id,image,related,source,summary,url
company,1769544657,Why Brown & Brown (BRO) Shares Are Falling Today,138275524,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BRO,Yahoo,"Shares of insurance brokerage firm Brown & Brown (NYSE:BRO) fell 7.3% in the afternoon session after the company reported mixed fourth-quarter 2025 results, with an earnings beat failing to offset a shortfall in revenue.",https://finnhub.io/api/news?id=6281db85cd8f3dc2739f83083f7186ac324b69616ebd0a3a83b2da88763cb40a
company,1769540700,"W.R. Berkley Q4 Earnings Miss Estimate, Revenues Up Y/Y",138275455,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BRO,Yahoo,W.R. Berkley posted solid full-year growth as higher premiums and record investment income offset a Q4 earnings miss and elevated expenses.,https://finnhub.io/api/news?id=e59ac49f336f92b762d647be33125845a1086d22c17b3b3a51035cc93e88cf2d
company,1769540498,Brown & Brown Inc (BRO) Q4 2025 Earnings Call Highlights: Strong Revenue Growth Amidst ...,138274181,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BRO,Yahoo,"Despite a dip in organic growth, Brown & Brown Inc (BRO) reports robust full-year revenue and strategic acquisitions, maintaining a steady EBITDAC margin.",https://finnhub.io/api/news?id=218341edbdc94601c72a986ea4318d5d8c35219390d3791c058f92de998bec3d
company,1769534444,Why Arthur J. Gallagher (AJG) Stock Is Down Today,138272481,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BRO,Yahoo,Shares of insurance brokerage firm Arthur J. Gallagher (NYSE:AJG) fell 4.7% in the afternoon session after a U.S. government proposal for nearly flat Medicare payment rates in 2027 dragged down health insurer stocks.,https://finnhub.io/api/news?id=925eaa7773f4a006fdf34c943cde8bb455444610a38d17845eaea7da18afe7ec
company,1769533922,Brown & Brown: Great Insurance Broker's Discount Is Better Now,138275750,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2212050734/image_2212050734.jpg?io=getty-c-w1536,BRO,SeekingAlpha,"Brown & Brown, Inc. is still a Buy after the dip to $75. Click for this updated look at BRO stock following its latest earnings report and see why I remain bullish.",https://finnhub.io/api/news?id=7532944b9c0a0d4073ba523adc50d5e48910fe191ba1b667804d9dbffb97f51e
company,1769533776,Is Brown & Brown (BRO) Still Attractive After Recent Share Price Weakness?,138272726,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BRO,Yahoo,"If you have been wondering whether Brown & Brown is priced fairly or if there is still value left in the stock, this breakdown is designed to give you a clear, numbers driven view. The share price last closed at US$79.62, with returns of 2.6% year to date, a 25.7% decline over the past year, and gains of 41.3% over 3 years and 91.7% over 5 years. Recent price performance has put Brown & Brown back on many investors' watchlists, as the longer term returns contrast with the 1.4% decline over...",https://finnhub.io/api/news?id=a9a752ed5cc9f4e91974ae4924eb1048ab001bd987eedf98e37ab7f6d567a18e
company,1769531946,Brown & Brown Q4 Earnings Call Highlights,138272727,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BRO,Yahoo,"Brown & Brown (NYSE:BRO) executives highlighted strong full-year growth, solid margin performance, and continued acquisition activity during the company’s fourth-quarter earnings call, while also addressing the loss of employees and clients to a startup competitor and providing early expectation",https://finnhub.io/api/news?id=4c969d000b22d37c59a7f9bedad94b8e47ac28cd66a9ce5c1e056587e645dc24
company,1769523960,Brown & Brown Q4 Earnings Top Estimates on Strong Investment Income,138272650,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BRO,Yahoo,"BRO's Q4 results reflect higher commission and fees, improved investment income, and higher adjusted EBITDAC, offset by lower organic revenues.",https://finnhub.io/api/news?id=d4d0d81a6a5211e357908afac6e96e155361cc308bccf00c4f2c05d6f1f8f8bd
company,1769514144,"Brown & Brown, Inc. (BRO) Q4 2025 Earnings Call Transcript",138271583,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,BRO,SeekingAlpha,"Brown & Brown, Inc. (BRO) Q4 2025 Earnings Call January 27, 2026 8:00 AM ESTCompany ParticipantsJ.",https://finnhub.io/api/news?id=b6c62e9d21cbf222b35b6394e73525ad980d58422710f67e30380ae295500a8e
company,1769502833,"Brown & Brown, Inc. 2025 Q4 - Results - Earnings Call Presentation",138269861,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,BRO,SeekingAlpha,"2026-01-27. The following slide deck was published by Brown & Brown, Inc.",https://finnhub.io/api/news?id=229fd233649cd23cfad37249ee4224a8d112b5817878138114f214402a4461d7
company,1769488398,1 Growth Stock Set to Flourishand 2 That Underwhelm,138270988,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BRO,Yahoo,"Growth is oxygen. But when it evaporates, the consequences can be severe - ask anyone who bought Cisco in the Dot-Com Bubble or newer investors who lived through the 2020 to 2022 COVID cycle.",https://finnhub.io/api/news?id=9166458e100519ef532f1916c5c4658e3f6ca74877653908f18921d3126f9a91
company,1769475601,Brown & Brown (BRO) Q4 Earnings: How Key Metrics Compare to Wall Street Estimates,138266588,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BRO,Yahoo,"The headline numbers for Brown & Brown (BRO) give insight into how the company performed in the quarter ended December 2025, but it may be worthwhile to compare some of its key metrics to Wall Street estimates and the year-ago actuals.",https://finnhub.io/api/news?id=b852da82e59e360a3db634106d5c378af734030d165617915ca103c455432e42
