category,datetime,headline,id,image,related,source,summary,url
company,1769121120,CSX Stock Rises After Earnings Miss Estimates. It’s the Outlook.,138220306,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FDS,Yahoo,"Shares rose in late trading on Thursday after the railroad posted solid fourth-quarter numbers.  Wall Street analysts tracked by FactSet were looking for EPS of 41 cents from sales of $3.5 billion.  Volumes rose 1% year over year, boosted by intermodal volumes.",https://finnhub.io/api/news?id=cd9513e69973825a65ecfa0b5d1ea23c24fdd9291610e7e6eb16d7009215275f
company,1769114520,Abbott Stock Is on Pace for Worst Day Since 2000. The Nutrition Business Is a Drag on Earnings.,138213287,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FDS,Yahoo,"Shares of  Abbott Laboratories  sank on Thursday after the medical device maker posted fourth-quarter earnings and sales that underwhelmed Wall Street.  For the fourth quarter,  Abbott  reported adjusted earnings of $1.50 a share, slightly better than the $1.49 consensus among analysts tracked by  FactSet  The company logged roughly $11.5 billion in sales, missing the $11.8 billion analysts had forecast.  The company said it expects full-year adjusted earnings in the range of $5.55 to $5.80 a share.",https://finnhub.io/api/news?id=01b5ed14ad8735a84b16e810bcc99938a765a4de0421a5fb9a28c1bb8c640281
company,1769104020,McCormick Raises Prices as Higher Costs Hurt Profitability,138206054,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FDS,Yahoo,McCormick & Co. posted higher sales in the fourth quarter but issued a soft adjusted earnings outlook for fiscal 2026 as higher costs are expected to dent profits.,https://finnhub.io/api/news?id=5321ecb246db3e9ae9c579986191ab7212821c14955e89459b0ededd984b5ebe
company,1769101836,"McCormick Misses Fourth-Quarter Profit Estimates, Sets 2026 Guidance Below Views",138206076,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FDS,Yahoo,McCormick's (MKC) fiscal fourth-quarter profit fell short of Wall Street's estimates amid higher com,https://finnhub.io/api/news?id=bc5c2bd0fe573de5c1f3d86b43797da7dc86129a78ae90c9be7813e7e8d8df19
company,1769100480,SaaS Demand and Client Retention Aid Paychex Amid Heavy Competition,138206924,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FDS,Yahoo,"PAYX rides strong cloud and SaaS demand that drive revenues and dividends, but client insolvency, cyber risks and stiff competition cloud outlook.",https://finnhub.io/api/news?id=209e8291ab77b13193402e811e22b451ae4c9584a51bd719bea0a6e1c031296c
company,1769090014,Procter & Gamble Fiscal Second-Quarter Sales Miss Views; Maintains Full-Year Outlook,138204019,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FDS,Yahoo,"Procter & Gamble's (PG) fiscal second-quarter revenue fell short of market estimates, although earni",https://finnhub.io/api/news?id=8d3bc3fc60660c3e0ad2ac55418dc72536523a0b8f5267e25ce7005422813eb9
company,1769089500,Barclays and FactSet enter a multiyear strategic agreement,138204020,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FDS,Yahoo,"NORWALK, Conn., Jan. 22, 2026 (GLOBE NEWSWIRE) -- Barclays today announced a multiyear arrangement with FactSet (NYSE: FDS | NASDAQ: FDS), a global financial digital platform and enterprise solutions provider, as a further step in realizing Barclays’ long-term market data strategy. This collaboration harnesses FactSet’s advanced analytics and innovative technology, empowering Barclays to deliver enhanced, data-driven solutions for its global client base. “Market data is undergoing an intense per",https://finnhub.io/api/news?id=4cf8ad5ce2ada5d1fcdd6b372520855c086b183fc5a3a1326dc4f81431001b84
company,1769088000,"McCormick Logs Higher Sales, Gives Soft Full-Year 2026 Outlook",138204835,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FDS,Yahoo,McCormick & Co. posted higher sales in the fourth quarter but issued a soft adjusted earnings outlook for fiscal 2026 as higher costs are expected to dent profits.,https://finnhub.io/api/news?id=faf4e307df4f0964e1338ca38d496d03ea3bf3bdca634084e28d859eb883286d
company,1769084760,"McCormick Logs Higher Quarterly Sales,  Projects Continued Annual Growth",138204008,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FDS,Yahoo,"McCormick & Co. reported higher sales in its fiscal fourth quarter and said momentum is expected to continue this year. However, the company continues to face higher costs that are eating into profit.",https://finnhub.io/api/news?id=affc43e17c841932074087affc01c6291c86056609b019da772456adb47b0ea3
company,1769082600,GE Aerospace Revenue Rises on Surge in Orders,138203834,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FDS,Yahoo,GE Aerospace reported higher revenue as its orders continued to grow amid rising air travel and defense demand.,https://finnhub.io/api/news?id=e6c041e9137708b5ae42c87909565b5b7d8776d15c481e7726a7718849d9f48d
