category,datetime,headline,id,image,related,source,summary,url
company,1769039695,"Truist Reiterates Buy on Meta Platforms (META), Says AI Fears Are Priced In",138199563,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TFC,Yahoo,"Meta Platforms, Inc. (NASDAQ:META) is one of the AI Stocks on Market Radar. On January 14, Truist Securities reiterated a Buy rating on the stock with an $875.00 price target. While META has underperformed peers since Q3 earnings, the firm believes investor fears are already priced in. In an investor note, the firm noted how Meta […]",https://finnhub.io/api/news?id=c5e6dc432cc86294cba18a4783c94f10eda4eccf8675766760aa7fd5f3c31f87
company,1769038416,Truist Reiterates Buy on MongoDB (MDB) After Positive .local San Francisco Event,138199679,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TFC,Yahoo,"MongoDB, Inc. (NASDAQ:MDB) is one of the AI Stocks on Market Radar. On January 16, Truist Securities analyst Miller Jump reiterated a Buy rating on the stock with a $500.00 price target. Analysts struck a positive tone following MongoDB’s .local San Francisco event, citing expanding enterprise and AI-native positioning as supportive of top-line momentum. Truist […]",https://finnhub.io/api/news?id=5fc309803ac0c427026bd0915e8db563a6756e072fe56e871c0abe9c5219ee17
company,1769037900,The One Metric Bulls Watch in Palantir Before Earnings,138219631,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TFC,Yahoo,"Institutional buying, analyst upgrades, and earnings momentum suggest Palantir’s valuation concerns may be overblown heading into earnings",https://finnhub.io/api/news?id=d443409031fd0a7c4cf3e497a87806c301d63f7c7bc7fe5bc7337a7b4593285c
company,1769032452,"Truist settles 15-year-old legal saga, causing earnings hit",138199053,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TFC,Yahoo,The regional bank recorded $130 million of legal charges during the fourth quarter in connection with the resolution of a legal battle involving overdraft fees. Its earnings also took a hit from $63 million in employee severance costs.,https://finnhub.io/api/news?id=3ec6e02568c891249831066aceefd396d2e7c84c726e09e1553beb10e979fe49
company,1769031002,Truist Financial (TFC) Reports Q4 Earnings: What Key Metrics Have to Say,138199680,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TFC,Yahoo,"The headline numbers for Truist Financial (TFC) give insight into how the company performed in the quarter ended December 2025, but it may be worthwhile to compare some of its key metrics to Wall Street estimates and the year-ago actuals.",https://finnhub.io/api/news?id=2437804a4e89ae5e721cad6a5aadda4c059c7d2a582f5d3d9fde6e1713b9ffdd
company,1769030405,Truist Financial Corporation (TFC) Tops Q4 Earnings Estimates,138199681,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TFC,Yahoo,"Truist Financial (TFC) delivered earnings and revenue surprises of +2.41% and -0.41%, respectively, for the quarter ended December 2025. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=a9196ebc21a2e0501c5b2306afb5c65fca97d13cf29d09fc289ebf2da57a11e4
company,1769022164,Truist Financial Corp (TFC) Q4 2025 Earnings Call Highlights: Strong Net Income and Strategic ...,138198287,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TFC,Yahoo,"Truist Financial Corp (TFC) reports robust earnings and outlines ambitious growth strategies for 2026, despite facing market challenges.",https://finnhub.io/api/news?id=54d9c881f4172d692f6d81e7747a79f3f836387881cc00491e44b0ec4b1d8835
company,1769019120,"TFC Q4 Earnings Beat Despite Y/Y Rise in Expenses, Stock Dips",138199036,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TFC,Yahoo,"Truist Q4 adjusted EPS beats estimates. Higher expenses and credit provisions offset gains in NII, fees and loan growth.",https://finnhub.io/api/news?id=ef0a8457381e060886801281e2b6e57c7d120ee72c2f5daee91f69de67885888
company,1769015677,Truist Financial Q4 Earnings Call Highlights,138197332,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TFC,Yahoo,"Truist Financial (NYSE:TFC) reported fourth-quarter 2025 net income available to common shareholders of $1.3 billion, or $1.00 per diluted share, and full-year 2025 net income of $5.0 billion, or $3.82 per diluted share, management said on the company’s earnings call. Chairman and CEO Bill Rogers s",https://finnhub.io/api/news?id=5b33a1ac8dc73e143e1f3e2d14d48d7f71554fdfb5f27334c2f539b52f7386c9
company,1769013960,Truist Financial Corp. stock outperforms competitors on strong trading day,138213097,,TFC,MarketWatch,Truist Financial Corp. stock outperforms competitors on strong trading day,https://finnhub.io/api/news?id=9a6e05362377af68c4b284d53c73b508d16fa95a9be32716c5846e26dd07c87e
company,1769013660,ETFs Caught in the Crossfire Amid US-Greenland Trade Gambit,138198148,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TFC,Yahoo,"CARU and other ETFs slid as Trump's Greenland-linked tariff threat and the EU's retaliation jolted autos, aerospace, tech and banks.",https://finnhub.io/api/news?id=f195b11b74ca294792c99c6c7eefa20689357e58c5b9b0fac0962b807a0aede6
company,1769006587,Truist (TFC) Q4 2025 Earnings Call Transcript,138196172,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TFC,Yahoo,"William Rogers Jr.: It drives our strategy and fuels our commitment to our clients and the communities we serve.  Despite market volatility early in 2025, we stayed focused on supporting our clients and executing our growth and profitability agenda.  This discipline drove higher earnings, stronger client relationships, and attracted new business.",https://finnhub.io/api/news?id=efc908a563932be092c32cf6ea3dd45554dba607426fea9532bac331cebe853d
